Question,Answer
වී වගාව සඳහා සුදුසු පස් වර්ගය කුමක්ද?,"වී වගාව සඳහා සුදුසුම පස වර්ගය වන්නේ මැටි ලෝම වන අතර එය ජලය හොඳින් රඳවා තබා ගන්නා අතර හොඳ මුල් වර්ධනයට සහාය වේ."
කොපමණ වාරයක් කුඹුරු ජලයෙන් යටවිය යුතුද?,"පැළ සිටුවීමෙන් පසු පළමු දින 30-40 තුළ කුඹුරු අඛණ්ඩව ජලයෙන් යටවිය යුතුය, පසුව වර්ධනය හා කාලගුණික තත්ත්වයන් මත පදනම්ව අවශ්ය වේ."
වී පැලවල පෝෂක ඌනතාවයේ පොදු ලක්ෂණ මොනවාද?,"සාමාන්‍ය රෝග ලක්ෂණ වන්නේ කොළ කහ වීම, වර්ධනය අඩාල වීම සහ ධාන්‍ය සෑදීම දුර්වල වීමයි."
කුඹුරු වල වල් මර්දනයට හොඳම ක්‍රමය කුමක්ද?,"වල් පැලෑටි පාලනය කිරීමේ හොඳම ක්‍රමය වන්නේ අතින් වල් නෙලීම, පෙර මතුවන වල් නාශක භාවිතා කිරීම සහ නිසි ජල මට්ටම පවත්වා ගැනීමයි."
වී ගොවීන් පසේ ලවණතාව කළමනාකරණය කරන්නේ කෙසේද?,"ජලාපවහනය වැඩිදියුණු කිරීම, ජිප්සම් යෙදීම සහ ලුණු වලට ඔරොත්තු දෙන වී වර්ග තෝරා ගැනීමෙන් පසෙහි ලවණතාව කළමනාකරණය කළ හැකිය."
වී පැළ සඳහා නිර්දේශිත පරතරය කොපමණද?,නිර්දේශිත පරතරය පේළි අතර 20-25 සෙ.මී. සහ පැල අතර 10-15 සෙ.මී.
වී අස්වැන්න නෙළීමට හොඳම කාලය කවදාද?,අස්වැන්න නෙළීමට හොඳම කාලය වන්නේ ධාන්‍ය දැඩි වන කාලය වන අතර තෙතමනය 20% පමණ වේ.
වී ගොවීන්ට පාංශු සාරවත් බව වැඩි දියුණු කරන්නේ කෙසේද?,"කාබනික ද්‍රව්‍ය යෙදීමෙන්, භෝග භ්‍රමණය කිරීමෙන් සහ සමබර පොහොර යෙදීමෙන් පාංශු සාරවත් බව වැඩි දියුණු කළ හැකිය."
වී වාරිමාර්ග පද්ධතිවල ප්‍රධාන වර්ග මොනවාද?,"ප්‍රධාන වර්ග අතර ගංවතුර වාරිමාර්ග, ඉසින වාරිමාර්ග සහ බිංදු වාරිමාර්ග ඇතුළත් වේ."
වී වර්ධන අවධියේදී කොපමණ වාරයක් පොහොර යෙදිය යුතුද?,"ප්‍රධාන වර්ධන අවධීන්හිදී පොහොර යෙදිය යුතුය: ඉඩම් සැකසීමේදී, බද්ධ කිරීමට පෙර, සහ ගොයම් කැපීමේදී සහ පැනල් සෑදීමේදී."
වී වගාවන්ට බලපාන පොදු පලිබෝධ මොනවාද?,"සාමාන්‍ය පළිබෝධකයන් අතරට සහල් කඳ විදින, දුඹුරු පැහැ පැල, සහ පත්‍ර රෝලර් ඇතුළත් වේ."
ගොවීන් සහල් පිපිරුම් රෝගය වළක්වා ගන්නේ කෙසේද?,"වැලැක්වීමේ ක්‍රම අතරට ප්‍රතිරෝධී ප්‍රභේද භාවිතා කිරීම, නිසි ජල කලමනාකරණය ප්‍රගුණ කිරීම සහ දිලීර නාශක යෙදීම ඇතුළත් වේ."
වී සඳහා නිර්දේශිත නයිට්‍රජන් පොහොර ප්‍රමාණය කොපමණද?,"නිර්දේශිත ප්‍රමාණය හෙක්ටයාරයකට නයිට්‍රජන් කිලෝග්‍රෑම් 60-80 කි."
